datadate,tocurd,exratd,usd_exratd,exchange_rate
01/06/2019,JOD,0.9022,1.2712,1.4090002217
01/06/2019,RSD,131.8886,1.2712,0.0096384373
01/06/2019,CNY,8.7293,1.2712,0.145624506
01/06/2019,CAD,1.7054,1.2712,0.7453969743
01/06/2019,UGX,4734.3732,1.2712,0.0002685044
01/06/2019,MAD,12.1007,1.2712,0.1050517739
01/06/2019,EUR,1.1150,1.2712,1.1400896861
01/06/2019,ZMW,15.2804,1.2712,0.0831915395
01/06/2019,ZAR,17.8301,1.2712,0.0712951694
01/06/2019,RON,5.1979,1.2712,0.2445603032
01/06/2019,PHP,66.6006,1.2712,0.0190869151
01/06/2019,MUR,44.2012,1.2712,0.0287594002
01/06/2019,SGD,1.7290,1.2712,0.7352226721
01/06/2019,XOF,731.4112,1.2712,0.00173801
01/06/2019,BGN,2.1803,1.2712,0.5830390313
01/06/2019,MWK,927.7170,1.2712,0.0013702455
01/06/2019,BMD,1.2712,1.2712,1
01/06/2019,NZD,1.8881,1.2712,0.6732694243
01/06/2019,TZS,2919.4157,1.2712,0.0004354296
01/06/2019,TRY,6.8097,1.2712,0.1866748902
01/06/2019,KZT,477.7341,1.2712,0.0026608944
01/06/2019,LBP,1918.3098,1.2712,0.0006626667
01/06/2019,GEL,3.4008,1.2712,0.3737944013
01/06/2019,DKK,8.3267,1.2712,0.1526655218
01/06/2019,NOK,10.9691,1.2712,0.1158891796
01/06/2019,PEN,4.2625,1.2712,0.298228739
01/06/2019,USD,1.2712,1.2712,1
01/06/2019,JMD,161.1304,1.2712,0.0078892624
01/06/2019,IDR,18168.6435,1.2712,0.0000699667
01/06/2019,SDG,60.5257,1.2712,0.0210026485
01/06/2019,THB,40.7244,1.2712,0.0312147018
01/06/2019,MOP,10.2578,1.2712,0.1239252081
01/06/2019,VND,29492.9001,1.2712,0.0000431019
01/06/2019,GBP,1.0000,1.2712,1.2712
01/06/2019,OMR,0.4892,1.2712,2.5985282093
01/06/2019,RUB,86.1672,1.2712,0.0147527133
01/06/2019,KES,129.6035,1.2712,0.0098083771
01/06/2019,TTD,8.6237,1.2712,0.1474077252
01/06/2019,MYR,5.2407,1.2712,0.2425630164
01/06/2019,BDT,106.4668,1.2712,0.0119398723
01/06/2019,ILS,4.7186,1.2712,0.2694019413
01/06/2019,ARS,47.5115,1.2712,0.0267556276
01/06/2019,BHD,0.4790,1.2712,2.6538622129
01/06/2019,PGK,4.2803,1.2712,0.2969885288
01/06/2019,CHF,1.2544,1.2712,1.0133928571
01/06/2019,KWD,0.3859,1.2712,3.2941176471
01/06/2019,HRK,8.2907,1.2712,0.1533284282
01/06/2019,ISK,149.3968,1.2712,0.0085088837
01/06/2019,AED,4.6693,1.2712,0.2722463753
01/06/2019,COP,4063.7911,1.2712,0.0003128114
01/06/2019,HKD,9.9591,1.2712,0.127642056
01/06/2019,RWF,1117.6538,1.2712,0.0011373826
01/06/2019,SEK,11.3835,1.2712,0.1116704001
01/06/2019,SAR,4.7700,1.2712,0.2664989518
01/06/2019,PKR,176.4362,1.2712,0.0072048707
01/06/2019,HUF,358.0463,1.2712,0.0035503788
01/06/2019,MXN,24.8026,1.2712,0.0512526913
01/06/2019,JPY,137.5615,1.2712,0.0092409577
01/06/2019,TWD,39.2027,1.2712,0.032426338
