gvkey,number_analyst_following,ibes_year
101034,8,2020
101035,12,2020
101040,18,2020
101042,10,2020
101043,2,2020
101044,9,2020
101047,3,2020
101048,10,2020
101052,12,2020
101054,3,2020
101056,3,2020
101059,1,2020
101063,1,2020
101068,5,2020
101069,11,2020
101070,6,2020
101071,2,2020
101073,10,2020
101074,6,2020
101077,4,2020
101080,1,2020
101083,24,2020
101086,4,2020
101088,11,2020
101095,18,2020
101097,20,2020
101098,13,2020
101101,10,2020
101110,12,2020
101115,6,2020
101122,2,2020
101125,14,2020
101127,14,2020
101130,25,2020
101131,11,2020
101138,19,2020
101154,11,2020
101155,18,2020
101156,4,2020
101159,8,2020
101160,7,2020
101170,5,2020
101173,18,2020
101178,14,2020
101180,8,2020
101185,1,2020
101189,2,2020
101201,1,2020
101202,29,2020
101204,36,2020
101207,25,2020
101210,2,2020
101214,5,2020
101224,6,2020
101232,22,2020
101233,1,2020
101241,20,2020
101247,12,2020
101248,23,2020
101249,8,2020
101256,15,2020
101261,6,2020
101264,24,2020
101270,2,2020
101276,30,2020
101277,20,2020
101281,2,2020
101286,15,2020
101292,22,2020
101299,9,2020
101302,17,2020
101304,30,2020
101305,23,2020
101310,29,2020
101317,16,2020
101320,15,2020
101327,12,2020
101335,8,2020
101336,24,2020
101340,27,2020
101343,22,2020
101347,23,2020
101350,18,2020
101357,2,2020
101359,5,2020
101360,7,2020
101361,17,2020
101363,3,2020
101364,10,2020
101370,1,2020
101377,7,2020
101390,3,2020
101392,19,2020
101394,26,2020
101396,26,2020
101404,12,2020
101407,5,2020
101420,1,2020
101434,8,2020
101436,5,2020
101445,8,2020
101448,5,2020
101449,8,2020
101452,8,2020
101454,3,2020
101465,15,2020
101467,13,2020
101474,17,2020
101475,27,2020
101489,4,2020
101501,2,2020
101509,15,2020
101513,9,2020
101514,4,2020
101526,6,2020
101529,20,2020
101538,21,2020
101539,23,2020
101549,1,2020
101551,2,2020
101553,11,2020
101557,20,2020
101564,3,2020
101568,7,2020
101571,6,2020
101579,1,2020
101585,3,2020
101597,3,2020
101599,9,2020
101601,14,2020
101603,9,2020
101605,5,2020
101612,3,2020
101613,13,2020
101630,2,2020
101643,2,2020
101651,15,2020
101652,15,2020
101654,3,2020
101658,3,2020
101678,1,2020
101689,3,2020
101693,1,2020
101714,8,2020
101718,13,2020
101719,6,2020
101728,2,2020
101732,10,2020
101736,4,2020
101739,4,2020
101742,8,2020
101748,2,2020
101750,10,2020
101754,8,2020
101755,2,2020
101757,4,2020
101759,15,2020
101763,3,2020
101766,2,2020
101769,7,2020
101770,1,2020
101771,4,2020
101772,7,2020
101775,3,2020
101779,6,2020
101780,9,2020
101781,5,2020
101783,4,2020
101787,3,2020
101788,6,2020
101811,21,2020
101824,15,2020
101828,11,2020
101833,6,2020
101836,3,2020
101839,18,2020
101846,11,2020
101847,3,2020
101851,13,2020
101853,10,2020
101861,16,2020
101866,11,2020
101869,10,2020
101870,9,2020
101871,6,2020
101875,1,2020
101877,15,2020
101883,1,2020
101884,1,2020
101890,2,2020
101891,13,2020
101892,11,2020
101893,6,2020
101894,3,2020
101895,15,2020
101896,11,2020
101897,4,2020
101898,1,2020
101901,2,2020
101902,13,2020
101903,5,2020
101904,9,2020
101910,6,2020
101914,1,2020
101922,5,2020
101930,1,2020
101932,11,2020
101933,2,2020
101939,4,2020
101940,6,2020
101941,5,2020
101942,34,2020
101944,26,2020
101945,5,2020
101947,4,2020
101950,9,2020
101951,12,2020
101953,1,2020
101959,3,2020
101960,4,2020
101967,1,2020
101971,7,2020
101974,1,2020
101975,3,2020
101979,7,2020
101981,13,2020
101982,1,2020
101984,7,2020
101985,6,2020
101986,8,2020
101994,14,2020
101996,1,2020
101997,1,2020
102004,4,2020
102008,1,2020
102009,5,2020
102019,11,2020
102020,2,2020
102021,3,2020
102025,10,2020
102029,3,2020
102031,1,2020
102032,4,2020
102033,1,2020
102038,5,2020
102039,9,2020
102042,1,2020
102046,3,2020
102047,2,2020
102048,2,2020
102049,4,2020
102055,7,2020
102056,3,2020
102064,7,2020
102066,5,2020
102071,15,2020
102075,5,2020
102078,5,2020
102089,21,2020
102092,2,2020
102095,1,2020
102106,9,2020
102114,2,2020
102121,1,2020
102132,11,2020
102133,9,2020
102138,18,2020
102141,10,2020
102142,6,2020
102145,6,2020
102146,15,2020
102148,3,2020
102155,7,2020
102156,3,2020
102162,1,2020
102165,1,2020
102167,2,2020
102171,5,2020
102172,5,2020
102175,26,2020
102177,3,2020
102178,2,2020
102180,7,2020
102181,1,2020
102187,16,2020
102202,1,2020
102203,6,2020
102217,5,2020
102218,9,2020
102221,2,2020
102223,3,2020
102228,1,2020
102234,8,2020
102236,2,2020
102240,15,2020
102243,2,2020
102245,16,2020
102248,6,2020
102250,26,2020
102252,9,2020
102253,6,2020
102255,5,2020
102256,8,2020
102257,9,2020
102258,3,2020
102259,18,2020
102260,18,2020
102267,5,2020
102268,5,2020
102269,9,2020
102270,6,2020
102276,34,2020
102277,9,2020
102278,6,2020
102279,6,2020
102283,7,2020
102285,4,2020
102288,20,2020
102292,6,2020
102296,23,2020
102299,24,2020
102300,1,2020
102307,13,2020
102311,5,2020
102312,4,2020
102313,11,2020
102314,4,2020
102317,15,2020
102322,2,2020
102323,4,2020
102328,1,2020
102332,3,2020
102333,1,2020
102340,3,2020
102341,7,2020
102342,1,2020
102343,1,2020
102345,19,2020
102356,3,2020
102359,8,2020
102360,8,2020
102362,5,2020
102365,10,2020
102368,9,2020
102370,5,2020
102373,16,2020
102376,5,2020
102385,7,2020
102390,2,2020
102401,9,2020
102406,5,2020
102409,1,2020
102410,11,2020
102414,6,2020
102422,8,2020
102429,9,2020
102441,5,2020
102447,1,2020
102450,24,2020
102454,30,2020
102456,4,2020
102464,2,2020
102466,6,2020
102468,2,2020
102472,4,2020
102476,2,2020
102477,6,2020
102493,8,2020
102496,3,2020
102497,11,2020
102498,2,2020
102502,1,2020
102503,1,2020
102507,1,2020
102517,6,2020
102523,24,2020
102532,3,2020
102537,1,2020
102543,12,2020
102547,1,2020
102548,2,2020
102550,3,2020
102551,10,2020
102553,10,2020
102555,3,2020
102562,5,2020
102566,14,2020
102569,16,2020
102574,13,2020
102576,13,2020
102583,7,2020
102586,1,2020
102588,4,2020
102589,2,2020
102590,2,2020
102592,12,2020
102594,5,2020
102596,15,2020
102599,4,2020
102603,15,2020
102605,17,2020
102606,4,2020
102609,8,2020
102610,9,2020
102611,5,2020
102615,7,2020
102616,2,2020
102619,4,2020
102620,15,2020
102621,1,2020
102623,16,2020
102625,11,2020
102627,2,2020
102631,1,2020
102632,1,2020
102637,1,2020
102638,9,2020
102640,11,2020
102641,8,2020
102644,2,2020
102645,1,2020
102648,15,2020
102651,3,2020
102653,17,2020
102654,10,2020
102657,2,2020
102658,5,2020
102659,3,2020
102660,6,2020
102663,3,2020
102667,1,2020
102681,1,2020
102682,1,2020
102684,4,2020
102686,1,2020
102687,1,2020
102688,1,2020
102691,1,2020
102696,11,2020
102698,4,2020
102699,1,2020
102700,4,2020
102703,1,2020
102704,17,2020
102706,5,2020
102707,3,2020
102711,3,2020
102712,17,2020
102715,8,2020
102717,8,2020
102719,6,2020
102721,1,2020
102722,3,2020
102723,1,2020
102724,1,2020
102725,2,2020
102727,1,2020
